time,left,right
32,0,0
32.005,0,0
32.01,0,0
32.015,0,0
32.02,0,0
32.025,0,0
32.03,0,0
32.035,0,0
32.04,0,0
32.045,0,0
32.05,0,0
32.055,0,0
32.06,0,0
32.065,0,0
32.07,0,0
32.075,0,0
32.08,0,0
32.085,0,0
32.09,0,0
32.095,0,0
32.1,0,0
32.105,0,0
32.11,0,0
32.115,0,0
32.12,0,0
32.125,0,0
32.13,0,0
32.135,0,0
32.14,0,0
32.145,0,0
32.15,0,0
32.155,0,0
32.16,0,0
32.165,0,0
32.17,0,0
32.175,0,0
32.18,0,0
32.185,0,0
32.19,0,0
32.195,0,0
32.2,0,0
32.205,0,0
32.21,0,0
32.215,0,0
32.22,0,0
32.225,0,0
32.23,0,0
32.235,0,0
32.24,0,0
32.245,0,0
32.25,0,0
32.255,0,0
32.26,0,0
32.265,0,0
32.27,0,0
32.275,0,0
32.28,0,0
32.285,0,0
32.29,0,0
32.295,0,0
32.3,0,0
32.305,0,0
32.31,0,0
32.315,0,0
32.32,0,0
32.325,0,0
32.33,0,0
32.335,0,0
32.34,0,0
32.345,0,0
32.35,0,0
32.355,0,0
32.36,0,0
32.365,0,0
32.37,0,0
32.375,0,0
32.38,0,0
32.385,0,0
32.39,0,0
32.395,0,0
32.4,0,0
32.405,0,0
32.41,0,0
32.415,0,0
32.42,0,0
32.425,0,0
32.43,0,0
32.435,0,0
32.44,0,0
32.445,0,0
32.45,0,0
32.455,0,0
32.46,0,0
32.465,0,0
32.47,0,0
32.475,0,0
32.48,0,0
32.485,0,0
32.49,0,0
32.495,0,0
32.5,0,0
32.505,0,0
32.51,0,0
32.515,0,0
32.52,0,0
32.525,0,0
32.53,0,0
32.535,0,0
32.54,0,0
32.545,0,0
32.55,0,0
32.555,0,0
32.56,0,0
32.565,0,0
32.57,0,0
32.575,0,0
32.58,0,0
32.585,0,0
32.59,0,0
32.595,0,0
32.6,0,0
32.605,0,0
32.61,0,0
32.615,0,0
32.62,0,0
32.625,0,0
32.63,0,0
32.635,0,0
32.64,0,0
32.645,0,0
32.65,0,0
32.655,0,0
32.66,0,0
32.665,0,0
32.67,0,0
32.675,0,0
32.68,0,0
32.685,0,0
32.69,0,0
32.695,0,0
32.7,0,0
32.705,0,0
32.71,0,0
32.715,0,0
32.72,0,0
32.725,0,0
32.73,0,0
32.735,0,0
32.74,0,0
32.745,0,0
32.75,0,0
32.755,0,0
32.76,0,0
32.765,0,0
32.77,0,0
32.775,0,0
32.78,0,0
32.785,0,0
32.79,0,0
32.795,0,0
32.8,0,0
32.805,0,0
32.81,0,0
32.815,0,0
32.82,0,0
32.825,0,0
32.83,0,0
32.835,0,0
32.84,0,0
32.845,0,0
32.85,0,0
32.855,0,0
32.86,0,0
32.865,0,0
32.87,0,0
32.875,0,0
32.88,0,0
32.885,0,0
32.89,0,0
32.895,0,0
32.9,0,0
32.905,0,0
32.91,0,0
32.915,0,0
32.92,0,0
32.925,0,0
32.93,0,0
32.935,0,0
32.94,0,0
32.945,0,0
32.95,0,0
32.955,0,0
32.96,0,0
