time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
32,-5.26070636,-10.08736934,-25.8200013,-1.0491094,-1.96987936,16.12690822,-4.52578112,-8.97541935,-16.82359382,-2.08498981,0.16088037,12.89587849
32.005,-5.24497904,-10.0825468,-25.77427563,-1.04422932,-1.90678788,15.99375526,-4.51812774,-8.97010039,-16.81468657,-2.07484818,0.19984764,12.79358424
32.01,-5.17644888,-10.07757055,-25.60609051,-1.02958433,-1.84937128,15.74340931,-4.44027742,-8.97088082,-16.73135822,-2.09561887,0.21787138,12.59511586
32.015,-5.27196017,-10.08175869,-25.82126936,-1.040376,-1.91241216,16.22199593,-4.55347808,-8.97806804,-16.86673212,-2.08024283,0.21475153,12.94074554
32.02,-5.19634149,-10.07819055,-25.72442098,-1.05483389,-1.85975541,16.04557566,-4.47247438,-8.98276991,-16.82927881,-2.12014588,0.23791321,12.80095888
32.025,-5.19450563,-10.05235158,-25.64766416,-1.02154494,-1.83534134,15.84292642,-4.49929218,-8.99236541,-16.80227589,-2.07072827,0.2471049,12.64131734
32.03,-5.28611863,-10.07157016,-25.80910216,-1.03146501,-1.87111737,16.29668521,-4.57450547,-8.98699406,-16.90525077,-2.09109327,0.25305703,12.9657151
32.035,-5.16019305,-10.08060118,-25.74377269,-1.09174183,-1.79558367,16.08906975,-4.45237835,-8.99050266,-16.91887783,-2.15795091,0.30021412,12.80441253
32.04,-5.19505571,-10.0524181,-25.66582474,-1.02180784,-1.83835857,15.98231285,-4.5082326,-8.99431717,-16.86894895,-2.07630053,0.26922475,12.72017864
32.045,-5.16075167,-10.05906844,-25.61302058,-1.02660518,-1.82387272,15.90001162,-4.46664502,-8.98902518,-16.84634493,-2.09763881,0.27262746,12.65495128
32.05,-5.21319496,-10.05354065,-25.73769039,-1.01281724,-2.01122533,16.17123804,-4.5200005,-8.99608155,-16.9091068,-2.07597602,0.15994863,12.84896815
32.055,-5.18393931,-10.05789127,-25.70184639,-1.01521169,-1.98540745,16.10883623,-4.48591162,-8.99280701,-16.89547982,-2.09452498,0.17239706,12.80012895
32.06,-5.18151489,-10.05637733,-25.73730067,-1.01294413,-1.93925813,16.17444672,-4.48769948,-8.99377592,-16.92035842,-2.08614623,0.21985701,12.85270749
32.065,-5.16448637,-10.04982338,-25.68051343,-1.00459153,-1.91932467,16.03671328,-4.48262134,-8.99546618,-16.89944151,-2.0704669,0.22036481,12.74565342
32.07,-5.13204198,-10.05537843,-25.6755918,-1.02099869,-1.90599699,16.00889029,-4.44334744,-8.99266357,-16.91025106,-2.09773687,0.22832777,12.72323362
32.075,-5.08623267,-10.05848681,-25.61841085,-1.03049195,-1.87816249,15.91118271,-4.38998864,-8.99063348,-16.88841757,-2.12245337,0.23989832,12.64640943
32.08,-5.12559486,-10.0412953,-25.61146488,-0.97957835,-1.92836174,15.82460577,-4.44826219,-8.98984774,-16.8796796,-2.06643711,0.19712338,12.57978863
32.085,-5.19150881,-10.05862541,-25.74324082,-0.99381008,-2.01677202,16.23709785,-4.48976039,-8.98956722,-16.91883313,-2.08059571,0.14661695,12.89291632
32.09,-5.1771973,-10.05470939,-25.69678803,-0.98870139,-1.96567003,16.08442099,-4.48232643,-8.98763245,-16.91511442,-2.07250102,0.17231415,12.77368355
32.095,-5.13649915,-10.06057503,-25.67580249,-1.00522319,-1.94298781,16.03120064,-4.43576354,-8.98430103,-16.91885787,-2.09619496,0.18551752,12.7325189
32.1,-5.10340039,-10.06490483,-25.63551974,-1.01166624,-1.92095918,15.9610808,-4.39635083,-8.98097717,-16.90754999,-2.1119818,0.19589135,12.67854173
32.105,-5.14093123,-10.06034082,-25.64209852,-0.98274385,-1.93972244,15.92884665,-4.44634829,-8.9737045,-16.903971,-2.06118294,0.18221645,12.66192292
32.11,-5.10698623,-10.06633613,-25.57678551,-0.98598487,-1.91991402,15.83882689,-4.40187851,-8.96862465,-16.87474391,-2.08199038,0.18666527,12.59314338
32.115,-5.09803826,-10.06672183,-25.56831866,-0.98534704,-1.93312004,15.7183348,-4.40822478,-8.96317428,-16.87597517,-2.05133373,0.16965966,12.51111346
