time,fp_l_force_x,fp_l_force_y,fp_l_force_z,fp_l_cop_x,fp_l_cop_y,fp_l_cop_z,fp_r_force_x,fp_r_force_y,fp_r_force_z,fp_r_cop_x,fp_r_cop_y,fp_r_cop_z
32,71.03511,434.4943,3.013177,-2.762059,0.007963624,-3.513658,-64.26456,425.3199,-6.692496,-2.238018,0.007549135,-3.482755
32.005,71.02506,434.4582,2.957155,-2.762054,0.007963896,-3.513574,-64.20324,425.3667,-6.675579,-2.238034,0.007549132,-3.482731
32.01,71.01205,434.3594,2.896212,-2.762047,0.007964137,-3.513497,-64.13896,425.3981,-6.648301,-2.238054,0.007549057,-3.482726
32.015,70.99765,434.2221,2.843693,-2.762034,0.007964343,-3.513428,-64.08118,425.4163,-6.612103,-2.238073,0.007548939,-3.482737
32.02,70.98181,434.0657,2.812574,-2.762018,0.007964515,-3.513368,-64.03882,425.4192,-6.567509,-2.238087,0.00754881,-3.482759
32.025,70.96256,433.8962,2.810835,-2.762004,0.007964659,-3.513317,-64.01764,425.4007,-6.515194,-2.238095,0.007548696,-3.482787
32.03,70.93612,433.7035,2.838601,-2.761997,0.007964784,-3.513276,-64.01851,425.3506,-6.457052,-2.238094,0.007548614,-3.482816
32.035,70.89764,433.4639,2.888167,-2.762003,0.007964892,-3.513247,-64.03749,425.2572,-6.396694,-2.238085,0.007548565,-3.482846
32.04,70.84246,433.1485,2.946798,-2.762024,0.007964981,-3.513231,-64.06757,425.1088,-6.339073,-2.238072,0.007548544,-3.482874
32.045,70.76767,432.7342,3.001084,-2.762058,0.007965038,-3.513232,-64.10129,424.8978,-6.289317,-2.238055,0.007548539,-3.482902
32.05,70.67336,432.2128,3.041176,-2.7621,0.007965048,-3.513251,-64.13305,424.6241,-6.251255,-2.238037,0.007548537,-3.48293
32.055,70.563,431.5964,3.063505,-2.762143,0.007965001,-3.513287,-64.16043,424.2977,-6.226358,-2.238019,0.00754853,-3.482961
32.06,70.44282,430.9145,3.071205,-2.762176,0.007964896,-3.513336,-64.18413,423.939,-6.213632,-2.237999,0.007548515,-3.482997
32.065,70.32008,430.2062,3.072212,-2.762197,0.007964744,-3.513392,-64.20689,423.5766,-6.210522,-2.237976,0.007548497,-3.483039
32.07,70.20097,429.509,3.075811,-2.762202,0.007964567,-3.513448,-64.23216,423.2415,-6.214365,-2.237949,0.007548487,-3.483085
32.075,70.08886,428.8493,3.088961,-2.762194,0.00796439,-3.513498,-64.26287,422.9612,-6.2237,-2.237915,0.007548498,-3.483133
32.08,69.9838,428.2388,3.113776,-2.762181,0.007964235,-3.513537,-64.30063,422.755,-6.238907,-2.237875,0.007548542,-3.483181
32.085,69.88324,427.676,3.147042,-2.762167,0.007964114,-3.513567,-64.34535,422.6319,-6.261952,-2.23783,0.007548621,-3.483223
32.09,69.7838,427.1526,3.181731,-2.76216,0.007964026,-3.513589,-64.39523,422.5915,-6.295394,-2.237783,0.007548726,-3.48326
32.095,69.68318,426.6605,3.209774,-2.762161,0.007963959,-3.51361,-64.44724,422.6266,-6.341044,-2.237738,0.007548842,-3.483291
32.1,69.58154,426.1977,3.224938,-2.76217,0.007963898,-3.513633,-64.49802,422.7261,-6.398837,-2.237697,0.00754895,-3.483317
32.105,69.48155,425.7705,3.224818,-2.762182,0.007963829,-3.51366,-64.54526,422.8779,-6.466471,-2.237664,0.007549035,-3.483339
32.11,69.38729,425.3928,3.211316,-2.762191,0.007963752,-3.513688,-64.58906,423.0703,-6.539975,-2.23764,0.007549095,-3.483356
32.115,69.30258,425.0818,3.189589,-2.762192,0.007963679,-3.513711,-64.63281,423.2939,-6.614925,-2.237623,0.00754914,-3.483367
32.12,69.22971,424.8539,3.165923,-2.762182,0.007963634,-3.513719,-64.68286,423.5433,-6.68773,-2.237612,0.00754919,-3.483367
32.125,69.16903,424.7198,3.145416,-2.76216,0.007963645,-3.513704,-64.74671,423.8178,-6.756545,-2.237604,0.00754927,-3.483352
32.13,69.11959,424.6817,3.130381,-2.76213,0.007963734,-3.513662,-64.83033,424.122,-6.82155,-2.237595,0.007549403,-3.48332
32.135,69.08023,424.732,3.120084,-2.762099,0.007963907,-3.513593,-64.93588,424.464,-6.884457,-2.237583,0.007549602,-3.48327
32.14,69.05051,424.8544,3.111858,-2.762071,0.007964155,-3.513504,-65.06072,424.8527,-6.947382,-2.237566,0.007549867,-3.483206
32.145,69.0311,425.0267,3.102937,-2.76205,0.007964447,-3.513405,-65.19825,425.2937,-7.011532,-2.237544,0.007550183,-3.483132
32.15,69.02318,425.224,3.092098,-2.762037,0.007964737,-3.513311,-65.33967,425.7854,-7.07634,-2.237517,0.007550519,-3.483058
32.155,69.02719,425.4224,3.080305,-2.762029,0.007964974,-3.513236,-65.47586,426.316,-7.139448,-2.237488,0.007550842,-3.482992
32.16,69.04146,425.6014,3.070179,-2.762022,0.007965112,-3.51319,-65.59882,426.8638,-7.197435,-2.237458,0.007551119,-3.482944
32.165,69.0614,425.7458,3.064724,-2.762012,0.007965125,-3.513181,-65.70247,427.4004,-7.246798,-2.237427,0.007551329,-3.48292
32.17,69.07966,425.8454,3.066034,-2.761994,0.007965007,-3.513207,-65.78321,427.8954,-7.284721,-2.237394,0.007551471,-3.482922
