time,hip_flexion_l_power,hip_adduction_l_power,hip_rotation_l_power,knee_angle_l_power,ankle_angle_l_power,subtalar_angle_l_power,hip_flexion_r_power,hip_adduction_r_power,hip_rotation_r_power,knee_angle_r_power,ankle_angle_r_power,subtalar_angle_r_power
32,-2.71269919776922e-06,0,0,8.8659996823777e-07,0,0,-4.62484726633835e-07,-0,-0,1.09996578871323e-07,-0,-0
32.005,-2.78708402234259e-06,0,0,8.88617587925746e-07,0,0,-1.66862561985559e-07,-0,-0,1.09340816477739e-07,-0,-0
32.01,-2.82870644980717e-06,0,0,8.81526905042169e-07,0,0,-2.28048108047693e-08,-0,-0,1.07867872611594e-07,-0,-0
32.015,-2.36336264454268e-06,0,0,8.66827187792754e-07,0,0,-2.05711058181333e-08,-0,-0,1.49427735905098e-07,-0,-0
32.02,-1.86967179585231e-06,0,0,8.45951528231511e-07,0,0,1.3988353197586e-07,-0,-0,1.70577211300277e-07,-0,-0
32.025,-1.34566652866911e-06,0,0,8.20196269152325e-07,0,0,4.59346625281241e-07,-0,-0,1.65300102133774e-07,-0,-0
32.03,-1.33961999833401e-06,0,0,7.90683731378597e-07,0,0,7.53617344003291e-07,-0,-0,1.08636802942878e-07,0,-0
32.035,-1.97831711797216e-06,0,0,7.58352144045666e-07,0,0,7.91284492662306e-07,-0,-0,3.38758916114696e-08,0,-0
32.04,-2.63923228721334e-06,0,0,7.23964549283943e-07,0,0,7.11691836652829e-07,-0,-0,-1.70000494803156e-08,0,-0
32.045,-3.31426615783842e-06,0,0,6.88128087299813e-07,0,-0,5.18925498539979e-07,-0,-0,-4.00726474507808e-08,0,-0
32.05,-2.90564662201306e-06,0,0,9.25781039088408e-07,0,-0,6.05774951314216e-07,-0,-0,-9.39219645568501e-08,0,-0
32.055,-2.29397410269765e-06,0,0,1.19562247194827e-06,0,-0,7.56603177217966e-07,-0,-0,-1.80743071984494e-07,0,-0
32.06,-1.66282905157344e-06,0,0,1.44870662495693e-06,0,-0,9.10796188767157e-07,0,-0,-2.90894532958612e-07,0,-0
32.065,-1.14847117275453e-06,0,0,1.56190833943467e-06,0,-0,1.06224498838079e-06,0,-0,-3.89185405163203e-07,0,-0
32.07,-1.1296071925588e-06,-0,0,1.19763124597877e-06,0,-0,1.2049086261974e-06,0,-0,-3.55897575025144e-07,0,-0
32.075,-1.10004065782091e-06,-0,0,8.52633808444355e-07,0,-0,1.33322505123947e-06,0,-0,-2.95694071871413e-07,0,-0
32.08,-1.05926896642269e-06,-0,0,5.3272666864247e-07,0,-0,1.44247335407779e-06,0,-0,-2.14811104884125e-07,0,-0
32.085,-1.33097481712981e-06,-0,0,5.26525546743994e-07,0,-0,1.94854114870821e-06,0,0,-1.78095063368747e-07,0,-0
32.09,-1.76996702706935e-06,-0,0,6.99854270355853e-07,0,-0,2.75446385149772e-06,0,0,-1.76737722807444e-07,0,-0
32.095,-2.11230591259523e-06,-0,0,8.27227234430271e-07,0,-0,3.54499806674401e-06,0,0,-1.70164911116613e-07,0,-0
32.1,-2.3421080424745e-06,-0,0,9.02211929353906e-07,0,-0,4.3018748577311e-06,0,0,-1.58504305153747e-07,0,-0
32.105,-2.07197474504941e-06,-0,0,7.71226320544488e-07,0,-0,4.28785201831923e-06,0,0,-2.19032254465806e-07,0,-0
32.11,-1.76852231337672e-06,-0,-0,6.2914033179654e-07,0,-0,4.21637839283908e-06,0,0,-2.54070516968148e-07,0,-0
32.115,-1.4469215336298e-06,-0,-0,4.8132364120996e-07,0,-0,4.11107366618653e-06,0,0,-2.55736010313289e-07,0,-0
32.12,-1.11288669296912e-06,-0,-0,3.05677702977851e-07,0,-0,3.97912815104909e-06,0,0,-2.05951424215174e-07,0,0
32.125,-7.72706377425873e-07,-0,-0,1.27948711152782e-07,0,-0,3.82837149268973e-06,0,0,-1.14872911514415e-07,0,0
32.13,-4.33063313124961e-07,-0,-0,1.07880576650155e-08,0,-0,3.66692167474461e-06,0,0,-1.88733966207297e-08,0,0
32.135,-1.00834607844944e-07,-0,-0,-4.53021629951159e-08,0,-0,3.50286169150635e-06,0,0,7.96386058697551e-08,0,0
32.14,2.17119491476285e-07,-0,-0,-1.24654602274142e-07,0,-0,3.34396004579807e-06,0,0,1.53706313032164e-07,0,0
32.145,5.1416989527968e-07,-0,-0,-2.68756707117074e-07,0,-0,3.19744402308093e-06,0,0,1.87391344159922e-07,0,0
32.15,7.84127941842012e-07,-0,-0,-4.59120252271597e-07,0,-0,3.06982743556269e-06,0,0,1.84231354009458e-07,0,0
32.155,1.00733889142583e-06,-0,-0,-6.78149581596513e-07,0,-0,2.96678830412395e-06,0,0,1.45753507206551e-07,0,0
32.16,9.78400306528961e-07,-0,-0,-7.86732723900462e-07,0,-0,2.89308754736634e-06,0,0,7.28452746910851e-08,0,0
32.165,8.50097843808164e-07,-0,-0,-8.80336645903279e-07,0,-0,2.85251753039737e-06,0,0,-2.89255097610205e-08,0,0
32.17,6.44161120739129e-07,-0,-0,-9.57544416470386e-07,-0,-0,2.84786923292791e-06,0,0,-1.54809060774599e-07,0,0
32.175,6.57761259455018e-07,-0,-0,-9.27118629392689e-07,-0,-0,2.62518153233603e-06,0,0,-1.7457177000475e-07,0,0
32.18,9.59788913654503e-07,-0,-0,-7.68256792887959e-07,-0,-0,2.13460266135391e-06,0,0,-4.55314325945593e-08,0,0
32.185,1.23548189977392e-06,-0,-0,-5.85933688984327e-07,-0,-0,1.63600169775684e-06,0,0,9.82461125588927e-08,0,0
32.19,1.46235769580199e-06,-0,-0,-3.90184045466406e-07,-0,-0,1.10903947393958e-06,0,0,2.52081998909531e-07,0,0
32.195,1.18407570591625e-06,-0,-0,-3.58160665834713e-07,-0,-0,1.07345387035706e-06,0,0,2.81426373324656e-07,0,0
32.2,8.3482869013826e-07,-0,-0,-3.51553286626062e-07,-0,-0,1.1431314089345e-06,0,0,2.85148485159301e-07,0,0
32.205,5.22186292040575e-07,-0,-0,-3.39682098518032e-07,0,-0,1.22306496730273e-06,0,0,2.86948425929429e-07,0,0
32.21,3.03893525556e-07,-0,-0,-3.23193352260385e-07,0,-0,1.31142127654259e-06,0,0,2.87168144247284e-07,0,0
32.215,2.35506969799878e-07,-0,-0,-3.02894585394512e-07,0,-0,1.40596823893673e-06,0,0,2.86129357517042e-07,0,0
32.22,1.64230727765167e-07,-0,-0,-2.79710627538465e-07,0,-0,1.50408923317485e-06,0,0,2.84117891093641e-07,0,0
32.225,9.26535666758841e-08,-0,-0,-2.54629341254592e-07,0,-0,1.6028260739725e-06,0,0,2.813734131026e-07,0,0
32.23,3.11663838415667e-08,-0,-0,-3.03152805916567e-07,0,-0,1.69895152625002e-06,0,0,2.78084822924507e-07,0,0
32.235,-7.70501489238723e-08,-0,-0,-3.80623444382882e-07,0,-0,1.78906896834757e-06,0,0,2.74390870591294e-07,0,0
32.24,-2.38270301023817e-07,-0,-0,-4.33122771445869e-07,0,-0,1.86973382770723e-06,0,0,2.7038502989544e-07,0,0
32.245,-4.32651532357345e-07,-0,-0,-4.63745593758172e-07,0,-0,1.93758905496543e-06,0,0,2.6612332463716e-07,0,0
32.25,-5.37033105112275e-07,-0,-0,-3.28395138181354e-07,0,-0,1.989505323685e-06,0,0,2.61633758587359e-07,0,0
32.255,-5.97900360488651e-07,-0,-0,-2.18315800456674e-07,0,-0,2.02271592691672e-06,0,0,2.56926193577304e-07,0,0
32.26,-6.10711137953379e-07,-0,-0,-1.31802075073737e-07,0,-0,2.034936545283e-06,0,0,2.5200185682687e-07,0,0
32.265,-5.32438734030684e-07,-0,-0,-8.26803169700822e-08,0,-0,2.42720674666446e-06,0,0,2.46862006306635e-07,0,0
32.27,-3.55896788889812e-07,-0,-0,-7.08691703623057e-08,0,-0,3.46155674733057e-06,0,0,2.41515538114798e-07,0,0
32.275,-1.82275965613292e-07,-0,-0,-6.10653291650249e-08,0,-0,4.40221377403973e-06,0,0,2.3598545312209e-07,0,0
32.28,-4.31163362055517e-08,-0,-0,-5.28615713825489e-08,0,-0,5.21404721565541e-06,0,0,2.303141491191e-07,0,0
32.285,7.23918856138816e-08,-0,-0,-4.57657098091767e-08,0,-0,4.4273825177154e-06,0,0,3.2047188481802e-07,0,0
32.29,3.13137745681733e-07,-0,-0,-3.92159739066239e-08,0,-0,3.23268803361745e-06,0,0,4.33974128394973e-07,0,0
32.295,7.17180850042971e-07,-0,-0,-3.25939291145804e-08,0,-0,2.14417407101226e-06,0,0,5.39890382538016e-07,0,0
32.3,1.2713552004008e-06,-0,-0,-2.75215750068796e-08,0,-0,1.42221972269019e-06,0,0,6.02303023786941e-07,0,0
32.305,1.73555593559218e-06,-0,-0,-2.71450502340554e-08,0,-0,1.84757007141292e-06,0,0,4.74377665546083e-07,0,0
32.31,2.23568613404374e-06,-0,-0,-1.21738475366645e-08,0,-0,2.05691962310618e-06,0,0,3.54656007931257e-07,0,0
32.315,2.76463933213454e-06,-0,-0,2.21085551487688e-08,0,-0,2.03729064314494e-06,0,0,2.42310491023801e-07,0,0
32.32,3.31466484652164e-06,-0,-0,6.63788059827537e-08,0,-0,1.45117384519202e-06,0,0,1.93485702804869e-07,0,0
32.325,3.87751453686996e-06,-0,-0,9.6337093632928e-08,0,-0,7.1633322252635e-07,0,0,1.92704045855838e-07,0,0
32.33,4.44459083628106e-06,-0,-0,1.11132920290224e-07,0,0,2.05156583128158e-07,0,0,1.93532117987323e-07,0,0
32.335,5.00709501704041e-06,-0,-0,1.05348659100236e-07,0,0,-7.75973340365369e-08,0,0,1.96185634201202e-07,0,0
32.34,4.61785046058329e-06,-0,-0,1.97786096165132e-07,0,0,-4.10891994678267e-07,0,0,2.96820500987943e-07,0,0
32.345,3.94072279300867e-06,-0,-0,3.38617509073399e-07,0,0,-9.54752846417621e-07,0,0,4.14231718646649e-07,0,0
32.35,3.05635190516495e-06,-0,-0,5.23899137049252e-07,0,0,-1.68501911076385e-06,0,0,5.44485276992302e-07,0,0
32.355,2.35653114637153e-06,-0,-0,6.8214764209446e-07,0,0,-2.4473974864371e-06,0,0,6.22418859073801e-07,0,0
